Site,Habitat,Source,EscShi,Entero,CommRich,PathRich,WingChord,BirdWeight,TailLen,TarsusLen,BirdSex
S_U28,rural,nest,86,557,low,41,NA,NA,NA,NA,NA
S_U10,rural,nest,1429,546,low,36,NA,NA,NA,NA,NA
S_T48,rural,nest,0,84,low,31,NA,NA,NA,NA,NA
S_T41,rural,nest,1,22,low,41,NA,NA,NA,NA,NA
S_T35,rural,nest,248,4,low,38,NA,NA,NA,NA,NA
S_T23,rural,nest,8,13,low,31,NA,NA,NA,NA,NA
S_T21,rural,nest,14,22,low,45,NA,NA,NA,NA,NA
S_T07,rural,nest,4,20,high,48,NA,NA,NA,NA,NA
S_R53,urban,nest,0,15,low,49,NA,NA,NA,NA,NA
S_R44,semi-urban,nest,4,9,low,32,NA,NA,NA,NA,NA
S_R43B,semi-urban,nest,8,49,high,40,NA,NA,NA,NA,NA
S_R43A,semi-urban,nest,56,31,high,57,NA,NA,NA,NA,NA
S_R39,urban,nest,105,202,high,57,NA,NA,NA,NA,NA
S_R36B,semi-urban,nest,30,39,low,41,NA,NA,NA,NA,NA
S_R36A,semi-urban,nest,486,615,low,30,NA,NA,NA,NA,NA
S_LGB,urban,nest,1,9,high,59,NA,NA,NA,NA,NA
S_C06,urban,nest,63,687,high,63,NA,NA,NA,NA,NA
F_U10F,rural,feather,486,374,low,33,60,11,53,17.6,F
F_T48M,rural,feather,232,63,low,44,63,11,57,18.3,M
F_T48F,rural,feather,180,63,high,49,63,15,55,19,F
F_T41M,rural,feather,305,45,low,36,66,11,56,19.2,M
F_T41F,rural,feather,22,45,low,37,63,11,56,18.4,F
F_T35M,rural,feather,203,0,low,29,66,12,55,18.9,M
F_T35F,rural,feather,113,1,low,38,63,11,57,18.1,F
F_T23M,rural,feather,906,9,low,37,67,12,60,18.9,M
F_T23F,rural,feather,17,11,low,35,67,12,59,18.6,F
F_T21M,rural,feather,28,10,low,41,62.5,11,54,18.2,M
F_T21F,rural,feather,6520,0,low,23,65,12,57,19,F
F_T07F,rural,feather,2,10,low,40,63,11,54,18.1,F
F_R53M,urban,feather,288,3,high,56,68,11,62,18.2,M
F_R53F,urban,feather,61,2,high,58,65,11,56,16.8,F
F_R44M,semi-urban,feather,191,13,high,66,64,11,60,18,M
F_R44F,semi-urban,feather,33,20,low,38,62,10,56,16.9,F
F_R43M,semi-urban,feather,882,19,high,88,66,12,60,18.6,M
F_R43F,semi-urban,feather,112,28,high,59,64,13,55,19,F
F_R40M,urban,feather,1267,0,low,11,69,16,61,18.6,M
F_R40F,urban,feather,78,13,high,54,66,15,60,17.1,F
F_R37M,semi-urban,feather,1294,20,high,52,67,12,60,19.5,M
F_R37F2,semi-urban,feather,3230,0,low,30,62,10,55,18.5,F
F_R37F,semi-urban,feather,379,7,low,17,62,10,55,18.5,F
F_R36M,semi-urban,feather,1228,28,high,53,67,11,58,17.9,M
F_R36F,semi-urban,feather,31,48,low,51,65,11,58,17.9,F
F_R26M,urban,feather,3771,8,high,53,68,17,57,18.7,M
F_R26F,urban,feather,173,9,high,63,65,15,60,16.9,F
F_LGBF,urban,feather,54,12,high,44,64,12,57,17.9,F
F_C14M,urban,feather,2269,288,high,58,68,12,60,18,M
F_C14F,urban,feather,261,286,low,50,63,11,54,18.1,F